0|S0|I0	Acelerador
1|S1|I1	Radar de tesoros
2|S2|I2	Gato ricachón
3|S3|I3	Gatomático
4|S4|I4	Sabelotodo
5|S5|I5	Gatotirador
6|S6|I201	XP
7|S7|I217	NP
8	dummy
9	dummy
10	5 000 XP
11	10 000 XP
12	30 000 XP
13	50 000 XP
14	100 000 XP
15	200 000 XP
16	500 000 XP
17	1 000 000 XP
18	2 000 000 XP
19	500 000 XP
20|S11|I202	Tique gatuno
21|S12|I203	Tique raro
22|S13|I200	Friskas
23|S16|I400	Tique de la suerte
26|S17|I403	Tique de la suerte
27|S18|I404	Tique de la suerte
28|S19|I405	Tique de la suerte
29|S20|I204	Tique de platino
30|S30|I500	Semilla morada
31|S31|I501	Semilla roja
32|S32|I502	Semilla azul
33|S33|I503	Semilla verde
34|S34|I504	Semilla amarilla
35|S35|I505	Fruta morada
36|S36|I506	Fruta roja
37|S37|I507	Fruta azul
38|S38|I508	Fruta verde
39|S39|I509	Fruta amarilla
40|S40|I510	Fruta épica
41|S41|I511	Semilla arcaica
42|S42|I512	Fruta arcaica
43|S43|I513	Semilla épica
44|S44|I514	Fruta dorada
45|S21|I406	Tique de la suerte
46|S22|I407	Tique de la suerte
47|S23|I408	Tique de la suerte
48|S24|I409	Tique de la suerte
49|S25|I410	Tique de la suerte
50|S50|I600	Gatojo [Especial]
51|S51|I601	Gatojo [Raro]
52|S52|I602	Gatojo [Superraro]
53|S53|I603	Gatojo [Megarraro]
54|S54|I604	Gatojo [Legendario]
55|S55|I700	Gatamina [A]
56|S56|I701	Gatamina [B]
57|S57|I702	Gatamina [C]
58|S58|I605	Gatojo [Oscuro]
60|S60	Ataque
61|S61	Alcance
62|S62	Recarga
63|S63	Eficiencia
64|S64	Monedero
65|S65	Defensa de la base
66|S66	Investigación
67|S67	Rentabilidad
68|S68	Formación
69|S69	Energía
70|S70	Cat Ally: Dummy 1
71|S71	Cat Ally: Dummy 2
72|S72	Cat Ally: Dummy 3
73|S73	Cat Ally: Dummy 4
74|S74	Cat Ally: Dummy 5
75|S26|I411	Tique de la suerte
76|S76|I205	Tique de la suerte
77|S77|I206	Tique de la suerte G
78	100 000 XP
80|S80|I6	XP
81|S81|I7	XP
82|S82|I8	XP
83|S83|I9	XP
84|S84|I10	XP
85|S85|I610	Ladrillos
86|S86|I611	Plumas
87|S87|I612	Carbón
88|S88|I613	Engranajes
89|S89|I614	Oro
90|S90|I615	Meteoritos
91|S91|I616	Huesos
92|S92	Ingenieros
93|S93|I207	Tique de la suerte
94|S94|I208	Tique de la suerte G
95|S95|I209	Tique de la suerte G
96|S96|I210	Tique de la suerte G
97|S97|I211	Tique de la suerte G
98|S98|I212	Tique de la suerte G
99|S99|I213	Tique de la suerte
100|S100|I214	Tique de la suerte G
101|S101|I215	Tique de la suerte
102|S102|I216	Tique de la suerte G
103|S103|I218	Tique de la suerte G
104|S104|I219	Tique de la suerte
105|S105|I220	Liderazgo
106|S106|I221	Tique de la suerte G
107|S107|I222	Tique de la suerte
108|S108|I223	Tique de la suerte G
109|S109|I224	Tique de la suerte G
110|S110|I225	Tique de la suerte
112|S112|I226	Tique de la suerte
113|S113|I227	Tique de la suerte G
114|S114|I228	Tique de la suerte G
115|S115|I229	Tique de la suerte G
116|S116|I230	Tique de la suerte
117|S117|I231	Tique de la suerte
118|S118|I232	Tique de la suerte G
119|S119|I233	Tique de la suerte G
120|S120|I234	Tique de la suerte G
121|S121|I235	Tique de la suerte G
122|S122|I236	Tique de la suerte
123|S123	Lote de regreso
124|S124|I237	Tique de la suerte G
125|S125|I238	Tique de la suerte G
126|S126|I239	Tique de la suerte
127|S127|I240	Tique de la suerte
128|S128|I241	Tique de la suerte G
129|S129|I242	Tique de la suerte G
130|S130|I243	Tique de la suerte G
131|S131|I244	Tique de la suerte G
132|S132|I245	Tique de la suerte
133|S133|I246	Tique de la suerte G
134|S134|I247	Tique de la suerte
135|S135|I248	Tique de la suerte G
136|S136|I249	Tique de la suerte
137|S137|I413	Bikkuriman Choco
138|S138|I250	Tique de la suerte G
139|S139|I251	Tique de la suerte
140|S140|I617	Amonites
141|S141|I252	Tique de la suerte G
142|S142|I253	Tique de la suerte G
143|S143|I254	Tique de la suerte
144|S144|I255	Tique de la suerte G
145|S145|I256	Tique legendario
146|S146|I257	Tique de la suerte G
147|S147|I258	Tique de la suerte
148|S148|I259	Tique de la suerte
149|S149|I260	Tique de la suerte G
150|S150|I261	Tique de la suerte G
151|S151	¡3 h de gatos ricachones infinitos!
152|S152	¡3 h de gatomáticos infinitos!
153|S153	¡3 h de gatotiradores infinitos!
154|S154|I262	Tique de la suerte G
155|S155|I263	Tique de la suerte
156|S156|I264	Tique de la suerte G
157|S157|I270	Fragmento de platino
158|S158|I414	Red legendaria
159	5 000 XP
160|S160|I515	Semilla felina de Aku
161|S161|I516	Fruta felina de Aku
164|S164|I517	Semilla Felina Dorada
166|S166|I418	Carta de amor
167|S167|I518	Piedra M. morada
168|S168|I519	Piedra M. roja
169|S169|I520	Piedra M. azul
170|S170|I521	Piedra M. verde
171|S171|I522	Piedra M. amarilla
172|S172|I419	Agua bendita
173|S173|I420	Redes legendarias
174|S174|I710	Medalla de bronce
175|S175|I711	Medalla de plata
176|S176|I712	Medalla de oro
177|S177|I713	Medalla de platino
179|S179|I523	Gema de mast. mor.
180|S180|I524	Gema de mast. roja
181|S181|I525	Gema de mast. azul
182|S182|I526	Gema de mast. ver.
183|S183|I527	Gema mast. amar.
184|S184|I528	Piedra mast. épica
185|S185|I422	Amuleto legendario
186|S186|I423	Carta de amor
187|S187|I618	Ladrillo Z
188|S188|I619	Plumas Z
189|S189|I620	Carbón Z
190|S190|I621	Engranajes Z
191|S191|I622	Oro Z
192|S192|I623	Meteoritos Z
193|S193|I624	Huesos Z
194|S194|I625	Amonites Z
195|S195|I424	Agua bendita
1001	Gato Deportista
1003	Gato Currito
1004	Piscigato Reno
1005	Gato de Bronce
1006	Felidroide
1007	Gato Adulto
1008	Gato Malvado
1009	Gatoñecos
1010	Gata Colegiala
1011	Gato Cantante
1012	Gato Koi
1013	Novia Maruja
1014	Diva Vacacional
1015	Gata Vengativa
1016	Gato de Kungfú X
1018	Gato Esponjita
1019	Cat Kart R
1020	Baozi Cat
1021	Gatomburguesa
1022	Calabagato
1023	Regalo Gatuno
1024	Gatway
1025	Bailarina de Awa
1026	Gato Expreso
1027	Gato de Ligas Inferiores
1028	Vendedor de Comida
1029	Gata Animadora
1030	Gato Asesino
1031	Gato Curling
1032	Gato Huevo
1033	Bola de Gatos
1035	Squish Ball Cat
1036	Gata de Voleibol
1037	Gato de Cristal
1038	Moneko Demente
1039	Jinete de Babosas
1040	Gato Solitario y Gatito
1041	Gato Primordial
1042	Chuchomaru
1043	Cat Bros
1044	Gatman
1045	Gato Medusa
1046	Gatobaba
1047	Gato Cosaco
1048	Gato Profeoso
1049	Urs y Fenrir
1050	Gato Rugby
1051	Gato Fantasma
1052	Gato Repostero
1053	Gato Piedra
1054	Máscara Doron Viejuna
1055	Investigador Aku
1056	Gato de Hamelín
1057	Gato Calígrafo
1058	Bestia Naala Viejuna
1059	Huevo Antiguo N001
1060	Huevo antiguo N003
1061	Huevo antiguo N004
1062	Huevo Antiguo N000
1063	Gato Defensor Asesino
1064	Huevo Antiguo N005
1065	Gato Propulsor
1100	Gato de Bronce
1101	Gato Espacial
1102	Gato con Comba
1103	Gato Demente
1104	Gato Defensor Demente
1105	Gato Hachero Demente
1106	Gatilargo Demente
1107	Gato Lechero Demente
1108	Gato Pájaro Demente
1109	Piscigato Demente
1110	Gato Lagarto Demente
1111	Gato Titán Demente
1112	Healer
1113	Lobo Ururun
1114	Gato Relojero
1116	Gato con Aro
1118	Mininyandam
1119	Takuya ＆ Yuki
1120	Gato de Banda
1121	HYAKUTARO
1130	Gatornado
1131	Mina Caperucita
1132	Funghi
1134	Li'l Madoka
1135	Kyubey Cat
1137	PIKOTARO
1139	Miyamoku Musashi
1140	Redhead Yuki Cat
1142	Li'l Shirou
1143	Akio Yabe
1144	Karin Nekozuka
1145	Misaki Konno
1146	Sairi Nijitani
1147	Ren Katagiri
1148	Mentori
1149	Shinji & Cat
1150	Giraffe Unit-01
1151	Pokota
1152	Ovis
1153	Coco
1157	Bun Bun Mecánico
1158	Betakkuma
1160	Meowla Meowla
1162	Prince Yamato
1164	Kano ＆ Souma
1167	Ryu Cat
1168	Akuma Giraffe
1170	Miku Cat
1172	Idi:N
1173	Ranma Cat (M)
1174	Godzilla Cat
1177	Osamu Mikumo & Cat
1178	Yuma Kuga & Cat
10010	Gato Cachas
10011	Gato Bailarín
10012	Hiper Sr.
10013	Bondage Definitivo
10014	Eladio Oscuro
10015	Gato de Asalto
10016	Gatopiruleta
10018	Gato Monociclo
10019	Gato Ninja Volador
10020	Esquelegato
10021	Gato Compotas
10022	Gato Bola de Arroz
10023	Gato Mariachi
10024	Gata con Taparrabos
10061	Gato Concursante
10064	Gatos Violentos
10071	Gato Ritual
10075	Gato Pastel Navideño
10079	Gato Espacial Marine
10080	Gato Prisionero
10081	Caballeros Compañeros
10082	Miauladín
10089	Gatos Fideos
10092	Gato Crestado Maníaco
10093	Gato Borrador Maníaco
10094	Gato Oscuro Maníaco
10095	Gato Piernacas Maníaco
10096	Gato León Maníaco
10097	Gato Volador Maníaco
10098	Gato Isleño Maníaco
10099	Gato Dragón Rey Maníaco
10100	Miautante Maníaco
10101	Gata Luchadora
10104	Megagato Especial
10105	Gato Koi Estandarte
10110	Maruja la Sabana
10120	Healer Cat CC
10122	Merc & Cat CC
10123	Gata de Atención al Cliente
10127	Titiritero y Charley
10128	Gato con Bombas
10129	Gato Cometa
10133	Garra de Hierro X
10155	Gato As del Aro
10180	Takuya＆ Lovely Yuki
10184	Cat Kart P
10192	Titi Cat CC
10202	Gato de Mochi
10210	Minigato Crestado
10211	Minigato Borrador
10212	Minigato Oscuro
10214	Gato Comida para Llevar
10246	Minigato Piernacas
10247	Minigatoleón
10248	Minigato Volador
10261	Gato Viajero del Tiempo
10268	Gatifón
10274	Gata Restauradora
10285	Gato Tren Bala
10288	Gato Golfista
10300	Li'l Ultimate Madoka
10301	Li'l Devil Homura
10312	Minigato Isleño
10313	Minigato Dragón Rey
10314	Minimiautante
10325	Gato con Caparazón Verde
10330	Gato Huevo de Pascua
10353	Gato Gran Maestro Disfrazado
10370	Saber Alter Cat
10380	Gato Curry
10383	Gata de Cristal Mazada
10384	Yulala Espiritual
10386	Akio & Gunder CC
10403	Plug Suit Shinji Black
10406	Moon Kaworu
10443	Gato Turista
10453	Gato Futurista
10474	Rampaging Yamato
10475	Strike Angel
10522	Gato Naga
10532	Gato Cadaveroso
10540	Quartercat
10622	Investigator
15017	Moneko Superestrella
15031	Gato Tathagata
15032	Gato Vándalo Ultra
15033	Gato Cancán
15034	Gato Pulpo
15035	Ultralan Pasalan
15036	Gato Ciberpunk
15037	Gato Pez
15038	Gato Jiangshi
15039	Gato Relajado
15040	iGato
15041	Gato Bañera Lujoso
15042	Gata Cíborg
15043	Gata de Cristal Gélida
15044	Máquina Felina MK III
15045	Gato Balrog Superior
15047	Gatosaurio
15048	Maximum Luchador
15049	Gato Corsario
15050	Gatoladrón Folclórico
15051	Gato Divino
15052	Gato Médico
15053	Gato Nigrodanzante
15056	Gata Maga
15057	Gatauro
15058	Gato Paladín
15059	Gato Duelista
15060	Cuna de Gatos
15062	Gato Huevas
15072	Yukimura Inmortal
15073	Keiji Inmortal
15074	Nobunaga Inmortal
15076	Brisabel Divina
15077	Trónica Divina
15084	Sodoma, Dios Emperador
15085	Megidora, Dios Emperador
15086	Vars, Dios Emperador
15087	Kamukura, Dios Emperador
15088	Raiden, Dios Emperador
15106	Kuu Divina
15107	Kai Divina
15108	Cobrina Divina
15124	Gatos Val Val
15125	Masamune Inmortal
15126	Shingen Inmortal
15130	Gato Mazado Brillante
15135	Rey Gamereon
15136	Cosmo Extragaláctico
15137	Los Demonios del Melocotón
15138	Megacastillo de Jizo
15139	La Luna del Caos
15144	Gata Enfermera Divertida
15145	Ultrabase Gatuna
15146	Gato Rodeo
15147	Gatos Acróbatas
15148	Robogato
15149	Gato Ramen
15150	Gato Camarógrafo
15151	Julieta Maiko
15152	Gato Pizza
