000			Story of Legends
000-000		La Légende commence
000-000-000	Tremble-terre
000-000-001	Retour de la terreur
000-000-002	Blues du crépuscule
000-000-003	Marais mélancolique
000-000-004	Parc bondissant
000-000-005	Un doux sourire
000-000-006	Gardien du ranch
000-000-007	Lion endormi
000-001		Terre de passion
000-001-000	Nyandalousie
000-001-001	Champ de la paella
000-001-002	Trou au flamenco
000-001-003	Rivière Sangria
000-001-004	Monts Gazpacho
000-001-005	Nuit des churros
000-001-006	Jardins arides
000-001-007	Désert de tapas
000-002		Désert de glucosamine
000-002-000	Dune de chondroïtine
000-002-001	Ruines de sésamine
000-002-002	Grotte d’isoflavone
000-002-003	Colline de catéchine
000-002-004	Crépuscule de lycopène
000-002-005	Oasis de propolis
000-002-006	Piste de peptides
000-002-007	Mont hyaluronique
000-003		Chats nageurs
000-003-000	Lancement prématuré
000-003-001	Bleu profond
000-003-002	Crique des sirènes
000-003-003	Lagon du chaos
000-003-004	À l’abordage !
000-003-005	Dilemme du pêcheur
000-003-006	Bas-fonds salins
000-003-007	Salée, l’eau de mer
000-004		Terrain risqué
000-004-000	Adorables minéraux
000-004-001	Cavernes harmonieuses
000-004-002	Tunnels attractifs
000-004-003	Vallon spongieux
000-004-004	Pics identiques
000-004-005	Pont du suspense
000-005		Rue occidentale
000-005-000	Aube du malfrat
000-005-001	Havre du cow-boy
000-005-002	Nuit recherchée
000-005-003	Cité des macaronis
000-005-004	Baroudeur
000-005-005	Garde déçu
000-005-006	Mont du cow-boy
000-005-007	Nuit de rodéo
000-006		Mer de thon
000-006-000	Côte du thon rouge
000-006-001	Quai frais
000-006-002	Océan bleu
000-006-003	Eaux de Carapaccio
000-006-004	Mer économique
000-006-005	Thon de guerre tactique
000-006-006	Front du thon surgelé
000-006-007	Filet de grotte
000-007		Île de bambou
000-007-000	Champ d’épines
000-007-001	Côte de bambou
000-007-002	Jungle du tueur en série
000-007-003	Marais dégoûtant
000-007-004	Grotte abandonnée
000-007-005	Rue Poussière d’étoile
000-007-006	Falaise du champignon
000-007-007	Esprit frontalier
000-008		Grotte spongieuse
000-008-000	Tunnel lacté
000-008-001	Arme noire duveteuse
000-008-002	Fresque du Diable
000-008-003	Le vent souffle
000-008-004	Tueur juvénile
000-008-005	Rocher fâché
000-008-006	Grotte inondée
000-008-007	Le gras c’est la vie
000-009		Volcan Volkanos
000-009-000	Rocher du bain chaud
000-009-001	Gentil geyser
000-009-002	Épais magma
000-009-003	Cage en feu
000-009-004	Défenseur volcanique
000-009-005	Caldera en flammes
000-010		Histoire de Chats sans fin
000-010-000	Route potentielle
000-010-001	Arbre lugubre
000-010-002	Chanson dans le vent
000-010-003	Route de la philo
000-010-004	Cloche frontalière
000-010-005	Torrent de larmes
000-010-006	Route éclatante
000-010-007	Au cœur de l’épreuve
000-011		Château poisson
000-011-000	Murmures de la mer
000-011-001	Île ondulante
000-011-002	Mer de poulpe
000-011-003	Repos de Poséidon
000-011-004	Plage au clair de lune
000-011-005	Barrière de corail corail
000-011-006	Arche de la Lune
000-011-007	Sardines tueuses
000-012		Île des sushis
000-012-000	Champ de thons
000-012-001	Champ de crabes
000-012-002	Grotte des saumons
000-012-003	Grotte des oursins
000-012-004	Bois du caviar
000-012-005	Baie du natto
000-012-006	Forêt de flétans
000-012-007	Frontière des gambas
000-013		Poteau de grattage
000-013-000	Couloir de carton
000-013-001	Rêve d’herbe à Chats
000-013-002	Paroi croquante
000-013-003	Griffoir griffé
000-013-004	Pilier croquant
000-013-005	Géant désapprobateur
000-014		Parthénon
000-014-000	Autel de Zeus
000-014-001	Épée d’Achille
000-014-002	Route d’Éros
000-014-003	Aube de Gaïa
000-014-004	Portes d’Aphrodite
000-014-005	Labyrinthe d’Hadès
000-015		Plage à marée basse
000-015-000	Crique humide
000-015-001	Mammifères échoués
000-015-002	Territoire du bikini
000-015-003	Océan de pommes
000-015-004	Champ de parasols
000-015-005	Une pièce antique
000-015-006	Sables transparents
000-015-007	Océan d’étoiles
000-016		Alcatraz
000-016-000	Côte des goélands
000-016-001	Île des pélicans
000-016-002	Base souterraine
000-016-003	Jungle des méchants
000-016-004	Cap ou pas cap
000-016-005	Épreuve féline
000-016-006	Prairie carcérale
000-016-007	Geôlier à la morgue
000-017		Tunnel d’évasion
000-017-000	Péché et châtiment
000-017-001	Sentence carcérale
000-017-002	Tunnel Harry
000-017-003	Chutes des morts
000-017-004	Zone d’embûche
000-017-005	Le fugitif
000-018		Prison de Capone
000-018-000	Journal d’un évadé
000-018-001	Dernier gang
000-018-002	Destruction carcérale
000-018-003	Roi de la liberté
000-018-004	Destin du menteur
000-018-005	Tabou de porcherie
000-019		Route de la soie
000-019-000	Repos de Gandara
000-019-001	Par ici l’utopie
000-019-002	Col de Godiego
000-019-003	Magie de primate
000-019-004	Porte de l’outsider
000-019-005	Route de Marco Po
000-019-006	Pâtée pour porc
000-019-007	Sueur froide de canaille
000-020		Escalier des ténèbres
000-020-000	En sécurité, et toc
000-020-001	Claustronyctophobie
000-020-002	Alerte rouge
000-020-003	Embûches de la vie
000-020-004	Subtil couvre-feu
000-020-005	Sous terre
000-021		Prince des ténèbres
000-021-000	Le tapis rouge
000-021-001	La salle de bain
000-021-002	La salle VIP
000-021-003	La salle de torture
000-021-004	Jardin du dictateur
000-021-005	Chambre de Satan
000-022		Nuit sans issue
000-022-000	Prouesse de trahison
000-022-001	Fin de catharsis
000-022-002	Prémonition noire
000-022-003	Masque cassé
000-022-004	Cage d’Agapé
000-022-005	Renard rouge saint
000-023		Battle Royale
000-023-000	Son Altesse, T au lait
000-023-001	Combat agressif
000-023-002	L’horrible chant
000-023-003	Piège de lâches
000-023-004	Némésis sombre
000-023-005	Odeur de gore et de poisson
000-024		Cicatrices de guerre
000-024-000	Plaine des Valkyries
